x1,y1,z1,x2,y2,z2
2.827,0.648,67.121,1.831,0.447,66.996
8.516,0.849,61.976,7.510,0.615,61.804
7.216,0.701,59.931,6.166,0.518,59.848
6.144,0.793,60.502,5.082,0.575,60.383
5.873,0.766,60.876,4.838,0.646,60.758
5.037,0.787,64.554,3.952,0.585,64.495
-0.353,0.830,67.082,-1.446,0.690,67.178
1.501,0.928,69.414,0.454,0.803,69.574
2.898,0.857,64.838,1.892,0.676,64.795
3.882,0.880,65.133,2.795,0.652,65.131
-3.070,0.883,68.583,-4.154,0.777,68.634
-2.777,0.990,69.451,-3.890,0.907,69.512
-3.391,1.096,67.371,-4.445,1.014,67.473
2.785,0.947,68.013,1.747,0.897,68.130
3.590,1.017,69.593,2.495,0.848,69.617
8.687,0.985,62.850,7.664,0.832,62.681
6.324,1.069,65.400,5.246,0.921,65.370
4.227,0.881,61.177,3.194,0.648,61.097
6.570,0.964,62.815,5.455,0.806,62.828
5.330,1.040,67.049,4.276,0.937,67.045
8.362,0.993,63.966,7.309,0.839,63.839
8.531,1.117,64.208,7.487,0.969,64.133
1.087,1.234,69.727,-0.026,1.116,69.906
0.623,1.125,68.460,-0.484,0.965,68.721
-0.998,1.116,65.167,-2.079,0.959,65.186
2.641,1.094,61.443,1.510,0.828,61.272
4.725,1.241,68.774,3.705,1.109,68.722
6.012,1.179,64.162,4.953,1.046,64.088
3.748,1.311,70.858,2.670,1.202,70.950
8.503,1.222,60.119,7.504,1.139,60.046
7.972,1.206,59.432,6.940,1.028,59.322
7.719,1.229,61.193,6.723,1.012,61.066
-3.144,1.322,66.624,-4.228,1.176,66.682
4.357,1.291,65.904,3.283,1.193,65.840
6.459,1.334,66.741,5.399,1.098,66.567
-1.861,1.404,69.545,-2.965,1.298,69.584
1.856,1.547,68.798,0.808,1.465,68.862
-0.222,1.333,63.777,-1.284,1.080,63.837
3.723,1.520,68.041,2.644,1.393,67.974
-2.588,1.638,70.176,-3.717,1.534,70.211
-2.768,1.637,69.269,-3.881,1.566,69.291
3.291,1.509,71.200,2.222,1.344,71.266
0.351,1.506,67.917,-0.693,1.385,67.987
3.122,1.691,69.237,2.024,1.621,69.449
2.554,1.529,68.320,1.454,1.363,68.234
4.860,1.453,64.637,3.845,1.223,64.510
7.686,1.498,64.922,6.575,1.301,64.754
-1.083,1.574,71.242,-2.197,1.423,71.313
-0.534,1.589,70.620,-1.682,1.446,70.705
-0.856,1.538,68.681,-1.930,1.411,68.710
-1.629,1.514,66.010,-2.730,1.347,65.975
6.009,1.609,69.071,4.933,1.461,69.011
7.448,1.811,63.045,6.491,1.651,62.954
6.480,1.544,61.276,5.345,1.419,61.160
8.237,1.965,64.735,7.218,1.746,64.579
9.353,1.579,62.823,8.272,1.429,62.701
8.073,1.644,63.626,7.092,1.472,63.598
4.685,1.622,62.270,3.613,1.469,62.288
8.037,1.796,67.710,6.952,1.607,67.693
6.979,1.966,65.364,5.931,1.841,65.301
5.592,1.770,67.890,4.516,1.664,67.784
7.674,1.679,61.864,6.639,1.532,61.729
9.473,1.794,64.476,8.370,1.589,64.289
6.246,1.807,66.807,5.180,1.648,66.717
8.701,1.708,61.264,7.593,1.574,61.177
1.953,1.815,66.997,0.881,1.619,66.995
1.368,1.830,65.186,0.264,1.646,65.135
7.006,1.823,64.713,5.951,1.633,64.581
8.778,1.929,64.856,7.713,1.796,64.733
5.531,1.855,65.865,4.427,1.711,65.767
5.039,2.021,66.462,3.991,1.843,66.326
4.673,2.075,65.317,3.617,1.884,65.228
-2.145,2.003,68.998,-3.249,1.938,69.042
0.511,2.317,70.513,-0.676,2.210,70.579
-1.206,1.930,65.315,-2.290,1.714,65.302
4.345,1.973,62.834,3.296,1.823,62.791
1.871,2.175,70.592,0.732,2.035,70.785
3.189,2.213,70.445,2.164,2.107,70.473
-1.632,2.145,69.824,-2.679,1.995,69.968
9.273,2.102,63.204,8.250,1.940,63.020
3.913,2.230,69.412,2.790,2.032,69.419
-1.979,2.116,66.677,-3.108,1.960,66.729
4.348,2.254,67.047,3.237,2.121,66.974
8.379,2.303,66.089,7.327,2.137,65.968
6.312,2.405,62.405,5.326,2.333,62.220
7.231,2.212,63.204,6.185,1.969,63.047
6.866,2.158,61.876,5.825,1.955,61.776
-2.352,2.416,70.057,-3.441,2.326,70.208
-0.467,2.462,71.334,-1.557,2.325,71.509
7.596,2.277,62.050,6.586,2.266,61.956
9.559,2.322,63.132,8.515,2.191,62.933
6.651,2.442,67.971,5.529,2.342,68.039
2.609,2.446,65.837,1.540,2.291,65.898
